Filename                                 MP2/aVTZ
094_Li-Li_1.00                         217.632754
094_Li-Li_1.10                         197.732462
094_Li-Li_1.20                         181.337036
094_Li-Li_1.30                         167.499759
094_Li-Li_1.40                         155.632355
094_Li-Li_1.50                         145.332086
094_Li-Li_2.00                         109.143635
095_Li-Na_1.00                         185.870937
095_Li-Na_1.10                         168.613907
095_Li-Na_1.20                         154.618514
095_Li-Na_1.30                         142.857557
095_Li-Na_1.40                         132.771171
095_Li-Na_1.50                         124.008109
095_Li-Na_2.00                          93.173629
096_Li-K_1.00                          150.934139
096_Li-K_1.10                          137.123663
096_Li-K_1.20                          126.224009
096_Li-K_1.30                          117.071531
096_Li-K_1.40                          109.157673
096_Li-K_1.50                          102.213414
096_Li-K_2.00                           77.242894
097_Na-Na_1.00                         162.910502
097_Na-Na_1.10                         147.169511
097_Na-Na_1.20                         134.962358
097_Na-Na_1.30                         124.674431
097_Na-Na_1.40                         115.851482
097_Na-Na_1.50                         108.196879
097_Na-Na_2.00                          81.302130
098_Na-K_1.00                          137.207516
098_Na-K_1.10                          123.721285
098_Na-K_1.20                          113.462067
