Filename                                   AMOEBA
121_F-Water_Cls_021                    -80.592690
121_F-Water_Cls_022                    -76.547958
121_F-Water_Cls_023                    -78.430374
121_F-Water_Cls_024                    -79.960304
121_F-Water_Cls_025                    -80.612208
121_F-Water_Cls_026                    -86.496510
121_F-Water_Cls_027                    -87.528458
121_F-Water_Cls_028                    -93.854133
121_F-Water_Cls_029                    -85.602626
121_F-Water_Cls_030                    -73.910558
121_F-Water_Cls_031                    -92.091562
121_F-Water_Cls_032                    -86.950700
121_F-Water_Cls_033                    -84.468859
121_F-Water_Cls_034                    -75.729275
121_F-Water_Cls_035                    -83.249744
121_F-Water_Cls_036                    -82.059882
121_F-Water_Cls_037                    -79.690028
121_F-Water_Cls_038                    -81.361774
121_F-Water_Cls_039                    -86.998194
121_F-Water_Cls_040                    -87.499139
121_F-Water_Cls_041                    -91.847803
121_F-Water_Cls_042                    -84.104012
121_F-Water_Cls_043                    -80.145131
121_F-Water_Cls_044                    -87.104986
121_F-Water_Cls_045                    -80.853964
121_F-Water_Cls_046                    -86.996697
121_F-Water_Cls_047                    -87.407239
121_F-Water_Cls_048                    -91.841968
121_F-Water_Cls_049                    -72.639796
121_F-Water_Cls_050                    -92.955071
121_F-Water_Cls_051                    -81.132080
121_F-Water_Cls_052                    -85.855547
121_F-Water_Cls_053                    -84.358952
121_F-Water_Cls_054                    -88.607136
121_F-Water_Cls_055                    -85.736115
121_F-Water_Cls_056                    -76.897221
121_F-Water_Cls_057                    -83.297328
121_F-Water_Cls_058                    -87.319752
121_F-Water_Cls_059                    -91.089169
121_F-Water_Cls_060                    -84.340457
121_F-Water_Cls_061                    -79.738088
121_F-Water_Cls_062                    -90.113217
121_F-Water_Cls_063                    -88.840286
121_F-Water_Cls_064                    -82.471734
121_F-Water_Cls_065                    -94.633918
121_F-Water_Cls_066                    -86.810898
121_F-Water_Cls_067                    -89.484020
121_F-Water_Cls_068                    -98.516638
121_F-Water_Cls_069                    -75.365099
121_F-Water_Cls_070                    -74.335785
121_F-Water_Cls_071                    -83.991512
121_F-Water_Cls_072                    -93.358375
121_F-Water_Cls_073                    -83.496440
121_F-Water_Cls_074                    -87.970872
121_F-Water_Cls_075                    -84.846709
121_F-Water_Cls_076                    -81.566843
121_F-Water_Cls_077                    -60.741319
121_F-Water_Cls_078                    -78.112178
121_F-Water_Cls_079                    -79.894665
121_F-Water_Cls_080                    -87.819029
121_F-Water_Cls_081                    -84.023666
121_F-Water_Cls_082                    -70.128658
121_F-Water_Cls_083                    -84.050511
121_F-Water_Cls_084                    -84.010728
121_F-Water_Cls_085                    -83.736222
121_F-Water_Cls_086                    -81.016465
121_F-Water_Cls_087                    -88.675055
121_F-Water_Cls_088                    -86.300204
121_F-Water_Cls_089                    -83.550666
121_F-Water_Cls_090                    -89.755452
121_F-Water_Cls_091                    -86.523000
121_F-Water_Cls_092                    -87.560080
121_F-Water_Cls_093                    -78.879392
121_F-Water_Cls_094                    -92.777795
121_F-Water_Cls_095                    -76.132860
121_F-Water_Cls_096                    -73.957258
121_F-Water_Cls_097                    -81.637865
121_F-Water_Cls_098                    -92.875325
121_F-Water_Cls_099                    -80.890443
122_Cl-Water_Cls_000                   -38.167160
122_Cl-Water_Cls_001                   -47.133581
122_Cl-Water_Cls_002                   -50.271220
122_Cl-Water_Cls_003                   -45.785648
122_Cl-Water_Cls_004                   -43.424549
122_Cl-Water_Cls_005                   -54.054438
122_Cl-Water_Cls_006                   -54.091893
122_Cl-Water_Cls_007                   -53.961233
122_Cl-Water_Cls_008                   -54.450504
122_Cl-Water_Cls_009                   -50.803465
122_Cl-Water_Cls_010                   -49.733394
122_Cl-Water_Cls_011                   -45.808819
122_Cl-Water_Cls_012                   -45.452068
122_Cl-Water_Cls_013                   -60.271935
122_Cl-Water_Cls_014                   -53.453711
122_Cl-Water_Cls_015                   -45.417788
122_Cl-Water_Cls_016                   -54.136942
122_Cl-Water_Cls_017                   -46.408854
122_Cl-Water_Cls_018                   -50.919023
122_Cl-Water_Cls_019                   -51.097523
122_Cl-Water_Cls_020                   -47.487466
122_Cl-Water_Cls_021                   -44.986566
122_Cl-Water_Cls_022                   -59.716408
122_Cl-Water_Cls_023                   -51.499895
122_Cl-Water_Cls_024                   -51.419469
122_Cl-Water_Cls_025                   -52.401331
122_Cl-Water_Cls_026                   -45.876666
122_Cl-Water_Cls_027                   -44.505879
122_Cl-Water_Cls_028                   -42.269865
122_Cl-Water_Cls_029                   -50.772033
122_Cl-Water_Cls_030                   -45.692473
122_Cl-Water_Cls_031                   -48.064121
122_Cl-Water_Cls_032                   -50.279818
122_Cl-Water_Cls_033                   -47.542656
122_Cl-Water_Cls_034                   -48.800575
122_Cl-Water_Cls_035                   -45.712954
122_Cl-Water_Cls_036                   -52.725807
122_Cl-Water_Cls_037                   -47.149894
122_Cl-Water_Cls_038                   -45.369753
122_Cl-Water_Cls_039                   -44.356421
122_Cl-Water_Cls_040                   -39.601939
122_Cl-Water_Cls_041                   -31.023158
122_Cl-Water_Cls_042                   -38.898084
122_Cl-Water_Cls_043                   -53.134195
122_Cl-Water_Cls_044                   -58.955232
